Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.29,-.04,-.38,-.12,-.01,-.81,-.49,-.29,-.15,-.09,-.03,.05,.66
1881,-.08,-.18,.01,-.35,.11,-.07,-.91,-.45,-.20,.10,.12,-.05,-.07,.58
1882,-.11,-.21,.00,-.31,-.04,.01,-1.40,-.27,-.15,-.05,-.03,.02,.04,.61
1883,-.17,-.29,-.06,-.35,-.16,-.01,-.19,-.56,-.27,-.17,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.61,-.14,-.14,-1.31,-.64,-.47,-.12,-.15,-.19,-.02,.63
1885,-.33,-.44,-.24,-.66,-.12,-.27,-1.51,-.68,-.46,-.06,-.18,-.33,-.15,.81
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.59,-.50,-.40,-.21,-.17,-.20,-.20,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.77,-.51,-.29,-.29,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.31,-.43,-.24,.07,.14,-.31,-.22,.14
1889,-.10,-.17,-.03,-.29,.09,-.16,-.68,-.22,-.27,.02,.16,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.14,-.56,-.27,-.26,-.46,-.18,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.22,-1.12,-.34,-.36,.01,-.15,-.18,-.24,-.17
1892,-.27,-.39,-.15,-.44,-.29,-.08,-1.14,-.66,-.17,-.32,-.25,.02,-.21,.07
1893,-.31,-.47,-.15,-.51,-.35,-.05,-.65,-.55,-.47,-.41,-.29,.07,-.20,-.06
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.90,-.32,-.19,-.47,-.17,-.15,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.06,-.26,-.64,-.53,-.28,-.14,.01,-.20,-.32,-.60
1896,-.11,-.19,-.02,-.35,.11,-.15,-.83,-.37,-.23,.06,.15,-.15,-.13,.24
1897,-.11,-.16,-.05,-.35,.18,-.24,-.52,-.47,-.25,.14,.21,-.19,-.27,.39
1898,-.27,-.29,-.26,-.36,-.22,-.27,-1.14,-.24,-.24,-.18,-.25,-.28,-.21,.36
1899,-.17,-.21,-.14,-.24,-.11,-.19,-1.02,-.10,-.16,-.15,-.07,-.15,-.22,.57
1900,-.08,-.09,-.06,-.21,.18,-.30,-.54,-.16,-.16,.09,.26,-.29,-.29,.26
1901,-.15,-.13,-.18,-.17,-.03,-.31,-.41,-.11,-.16,-.06,.00,-.28,-.33,.24
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.39,-.51,-.33,-.02,-.04,-.28,-.43,-.06
1903,-.37,-.38,-.36,-.48,-.28,-.39,-.27,-.43,-.57,-.23,-.32,-.35,-.40,-.50
1904,-.47,-.48,-.45,-.52,-.45,-.44,-.17,-.60,-.56,-.43,-.47,-.37,-.49,-1.33
1905,-.26,-.29,-.22,-.41,-.07,-.36,-.04,-.24,-.63,-.11,-.03,-.33,-.37,-.35
1906,-.22,-.24,-.20,-.26,-.18,-.23,-.26,-.07,-.40,-.21,-.15,-.21,-.22,-.72
1907,-.38,-.48,-.29,-.60,-.29,-.29,-.56,-.73,-.53,-.30,-.28,-.21,-.37,-1.21
